Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
22.0,5908405.542373657,17.0,14.0,3053.0,2773.0,1514.0,54.0,179.58823529411765,335.43598649826214,1054.0,54.0,198.07142857142858,272.78470429618886,986.0528290106926,5.24676239260753,196946.85141245523,563522.4649155244,2352714.5385742188,0.0,5895558.11882019,368472.3824262619,729882.2024330992,2352714.5385742188,0.0,5908405.542373657,454492.7340287429,817147.5486014131,2415046.9303131104,1622.4384307861328,11.0,9.0,0.0,0.0,352.0,292.0,2.8772567959460646,2.3695055966614653,54.0,1514.0,187.93548387096774,308.8573045070272,95392.83454734653,1.0,2.0,1.0,20.0,30.0,0.0,0.0,0.0,0.8235294117647058,187.93548387096774,179.58823529411765,198.07142857142858,352.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3053.0,14.0,2773.0,65535.0,65535.0,14.0,20.0,87548.91157150269,69594.88173257081,205144.64378356934,23615.121841430664,1852736.6320292156,356853.9370478753,2352714.5385742188,1543303.0128479004
53.0,13781.78596496582,1.0,1.0,79.0,166.0,79.0,79.0,79.0,0.0,166.0,166.0,166.0,0.0,17777.086411210104,145.11907274457226,13781.78596496582,0.0,13781.78596496582,13781.78596496582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,72.55953637228613,72.55953637228613,79.0,166.0,122.5,43.5,1892.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,122.5,79.0,166.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,79.0,1.0,166.0,0.0,0.0,1.0,20.0,13781.78596496582,0.0,13781.78596496582,13781.78596496582,0.0,0.0,0.0,0.0
53.0,11366.128921508789,1.0,1.0,79.0,231.0,79.0,79.0,79.0,0.0,231.0,231.0,231.0,0.0,27274.01757808403,175.96140372957439,11366.128921508789,0.0,11366.128921508789,11366.128921508789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,87.98070186478719,87.98070186478719,79.0,231.0,155.0,76.0,5776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,155.0,79.0,231.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,79.0,1.0,231.0,0.0,0.0,1.0,20.0,11366.128921508789,0.0,11366.128921508789,11366.128921508789,0.0,0.0,0.0,0.0
53.0,7529.735565185547,1.0,1.0,79.0,167.0,79.0,79.0,79.0,0.0,167.0,167.0,167.0,0.0,32670.47001456526,265.6135773541891,7529.735565185547,0.0,7529.735565185547,7529.735565185547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,132.80678867709454,132.80678867709454,79.0,167.0,123.0,44.0,1936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,123.0,79.0,167.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,79.0,1.0,167.0,0.0,0.0,1.0,20.0,7529.735565185547,0.0,7529.735565185547,7529.735565185547,0.0,0.0,0.0,0.0
443.0,237654.9243927002,33.0,64.0,5324.0,84204.0,1474.0,74.0,161.33333333333334,265.1916021645215,1506.0,74.0,1315.6875,445.2358530529072,376714.2643005547,408.15480784954207,2475.572129090627,7525.353860990035,53726.911544799805,0.0,237654.9243927002,7426.716387271881,12798.74395140351,53726.911544799805,0.0,152935.02807617188,2427.5401281932045,5872.096218972691,31781.435012817383,0.0,6.0,34.0,0.0,0.0,672.0,1292.0,138.85679029932874,269.29801755021333,74.0,1506.0,922.9690721649484,673.667672568669,453828.1330640874,0.0,2.0,0.0,40.0,96.0,0.0,0.0,0.0,1.9393939393939394,922.9690721649484,161.33333333333334,1315.6875,672.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,5324.0,64.0,84204.0,65535.0,65535.0,7.0,20.0,237654.9243927002,0.0,237654.9243927002,237654.9243927002,0.0,0.0,0.0,0.0
50511.0,2211.5707397460938,2.0,1.0,132.0,54.0,78.0,54.0,66.0,12.0,54.0,54.0,54.0,0.0,84103.12031047865,1356.5019404915913,1105.7853698730469,1105.7853698730469,2211.5707397460938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,20.0,904.3346269943942,452.1673134971971,54.0,78.0,62.0,11.313708498984761,128.00000000000003,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.5,62.0,66.0,54.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,132.0,1.0,54.0,70.0,255.0,1.0,20.0,2211.5707397460938,0.0,2211.5707397460938,2211.5707397460938,0.0,0.0,0.0,0.0
53.0,7718.563079833984,1.0,1.0,121.0,121.0,121.0,121.0,121.0,0.0,121.0,121.0,121.0,0.0,31352.985976400814,259.1155865818249,7718.563079833984,0.0,7718.563079833984,7718.563079833984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,129.55779329091246,129.55779329091246,121.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,121.0,121.0,121.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,121.0,1.0,121.0,0.0,0.0,1.0,20.0,7718.563079833984,0.0,7718.563079833984,7718.563079833984,0.0,0.0,0.0,0.0
53.0,1977.9205322265625,1.0,1.0,121.0,121.0,121.0,121.0,121.0,0.0,121.0,121.0,121.0,0.0,122350.7193828351,1011.1629701060752,1977.9205322265625,0.0,1977.9205322265625,1977.9205322265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,505.5814850530376,505.5814850530376,121.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,121.0,121.0,121.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,121.0,1.0,121.0,0.0,0.0,1.0,20.0,1977.9205322265625,0.0,1977.9205322265625,1977.9205322265625,0.0,0.0,0.0,0.0
53.0,8160.829544067383,1.0,1.0,101.0,170.0,101.0,101.0,101.0,0.0,170.0,170.0,170.0,0.0,33207.408454819015,245.0731251278156,8160.829544067383,0.0,8160.829544067383,8160.829544067383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,122.5365625639078,122.5365625639078,101.0,170.0,135.5,34.5,1190.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,135.5,101.0,170.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,101.0,1.0,170.0,0.0,0.0,1.0,20.0,8160.829544067383,0.0,8160.829544067383,8160.829544067383,0.0,0.0,0.0,0.0
53.0,13016.700744628906,1.0,1.0,101.0,182.0,101.0,101.0,101.0,0.0,182.0,182.0,182.0,0.0,21741.300315041393,153.64876547732433,13016.700744628906,0.0,13016.700744628906,13016.700744628906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,76.82438273866217,76.82438273866217,101.0,182.0,141.5,40.5,1640.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,141.5,101.0,182.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,101.0,1.0,182.0,0.0,0.0,1.0,20.0,13016.700744628906,0.0,13016.700744628906,13016.700744628906,0.0,0.0,0.0,0.0
443.0,1226223.2303619385,9.0,11.0,2337.0,7738.0,906.0,54.0,259.6666666666667,300.39603489023915,1506.0,54.0,703.4545454545455,639.1125044844841,8216.285379804956,16.310243930133907,64538.0647558915,101405.54956193703,237032.89031982422,0.0,994447.7081298828,124305.96351623535,120479.7724596625,263929.6054840088,0.0,989190.3400421143,98919.03400421143,114467.95461587826,247198.58169555664,0.0,4.0,5.0,0.0,0.0,192.0,232.0,7.339609768560258,8.97063416157365,54.0,1506.0,503.75,560.3634423300649,314007.1875,2.0,2.0,0.0,9.0,19.0,0.0,0.0,0.0,1.2222222222222223,503.75,259.6666666666667,703.4545454545455,192.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2337.0,11.0,7738.0,65535.0,65535.0,4.0,20.0,1226223.2303619385,0.0,1226223.2303619385,1226223.2303619385,0.0,0.0,0.0,0.0
