Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
123.0,36046.98181152344,1.0,1.0,90.0,90.0,90.0,90.0,90.0,0.0,90.0,90.0,90.0,0.0,4993.483253082174,55.4831472564686,36046.98181152344,0.0,36046.98181152344,36046.98181152344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,27.7415736282343,27.7415736282343,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,90.0,90.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,1.0,90.0,0.0,0.0,1.0,20.0,36046.98181152344,0.0,36046.98181152344,36046.98181152344,0.0,0.0,0.0,0.0
443.0,56931.73408508301,4.0,6.0,297.0,519.0,75.0,74.0,74.25,0.4330127018922193,113.0,74.0,86.5,14.739402972983676,14332.955303636265,175.648962054366,6325.74823167589,9114.957627547745,29750.10871887207,0.0,36824.941635131836,12274.980545043945,13862.852471799548,31877.517700195312,2202.749252319336,27181.625366210938,5436.3250732421875,4174.504260348685,11423.826217651367,0.0,0.0,2.0,0.0,0.0,80.0,132.0,70.2595848217464,105.3893772326196,74.0,113.0,81.6,12.90116273829611,166.43999999999997,3.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,1.5,81.6,74.25,86.5,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,297.0,6.0,519.0,253.0,147.0,1.0,20.0,56931.73408508301,0.0,56931.73408508301,56931.73408508301,0.0,0.0,0.0,0.0
443.0,33141.8514251709,1.0,1.0,75.0,86.0,75.0,75.0,75.0,0.0,86.0,86.0,86.0,0.0,4857.9060335091035,60.346658801355325,33141.8514251709,0.0,33141.8514251709,33141.8514251709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,32.0,30.173329400677662,30.173329400677662,75.0,86.0,80.5,5.5,30.25,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,80.5,75.0,86.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,1.0,86.0,255.0,255.0,1.0,20.0,33141.8514251709,0.0,33141.8514251709,33141.8514251709,0.0,0.0,0.0,0.0
53.0,14816.522598266602,1.0,1.0,106.0,106.0,106.0,106.0,106.0,0.0,106.0,106.0,106.0,0.0,14308.350599404619,134.9844396170247,14816.522598266602,0.0,14816.522598266602,14816.522598266602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,67.49221980851235,67.49221980851235,106.0,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,106.0,106.0,106.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,106.0,1.0,106.0,0.0,0.0,1.0,20.0,14816.522598266602,0.0,14816.522598266602,14816.522598266602,0.0,0.0,0.0,0.0
53.0,23042.917251586914,1.0,1.0,106.0,106.0,106.0,106.0,106.0,0.0,106.0,106.0,106.0,0.0,9200.223985762916,86.79456590342373,23042.917251586914,0.0,23042.917251586914,23042.917251586914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,43.397282951711865,43.397282951711865,106.0,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,106.0,106.0,106.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,106.0,1.0,106.0,0.0,0.0,1.0,20.0,23042.917251586914,0.0,23042.917251586914,23042.917251586914,0.0,0.0,0.0,0.0
53.0,3659.7251892089844,1.0,1.0,86.0,180.0,86.0,86.0,86.0,0.0,180.0,180.0,180.0,0.0,72683.05302931597,546.4891205211726,3659.7251892089844,0.0,3659.7251892089844,3659.7251892089844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,273.2445602605863,273.2445602605863,86.0,180.0,133.0,47.0,2209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,133.0,86.0,180.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,86.0,1.0,180.0,0.0,0.0,1.0,20.0,3659.7251892089844,0.0,3659.7251892089844,3659.7251892089844,0.0,0.0,0.0,0.0
53.0,3659.7251892089844,1.0,1.0,86.0,156.0,86.0,86.0,86.0,0.0,156.0,156.0,156.0,0.0,66125.1835830619,546.4891205211726,3659.7251892089844,0.0,3659.7251892089844,3659.7251892089844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,273.2445602605863,273.2445602605863,86.0,156.0,121.0,35.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,121.0,86.0,156.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,86.0,1.0,156.0,0.0,0.0,1.0,20.0,3659.7251892089844,0.0,3659.7251892089844,3659.7251892089844,0.0,0.0,0.0,0.0
443.0,1294305.0861358643,10.0,42.0,1916.0,53655.0,700.0,74.0,191.6,216.76863241714656,1506.0,74.0,1277.5,455.97254773255185,42935.00859670319,40.17599911875917,25378.53110070322,145688.58248592052,1045895.0996398926,0.0,1294305.0861358643,143811.67623731826,322224.79915861576,1045895.0996398926,0.0,226142.40646362305,5515.6684503322695,22327.922294756092,140301.70440673828,0.0,3.0,8.0,0.0,0.0,212.0,852.0,7.726153676684457,32.44984544207472,74.0,1506.0,1068.673076923077,600.1006877424771,360120.83542899403,0.0,2.0,1.0,11.0,51.0,0.0,0.0,0.0,4.2,1068.673076923077,191.6,1277.5,212.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1916.0,42.0,53655.0,65535.0,65535.0,3.0,20.0,248409.98649597168,0.0,248409.98649597168,248409.98649597168,1045895.0996398926,0.0,1045895.0996398926,1045895.0996398926
547.0,1026796.817779541,2.0,0.0,270.0,0.0,158.0,112.0,135.0,23.0,0.0,0.0,0.0,0.0,262.95367820079326,1.9478050237095799,1026796.817779541,0.0,1026796.817779541,1026796.817779541,1026796.817779541,1026796.817779541,0.0,1026796.817779541,1026796.817779541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.9478050237095799,0.0,112.0,158.0,135.0,23.0,529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,135.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,270.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,1026796.817779541,0.0,1026796.817779541,1026796.817779541
5353.0,4313886.1656188965,8.0,0.0,2253.0,0.0,493.0,120.0,281.625,133.19247116485226,0.0,0.0,0.0,0.0,522.266910507772,1.8544763799654578,616269.452231271,642739.6433137566,2006893.3963775635,49920.082092285156,4313886.1656188965,616269.452231271,642739.6433137566,2006893.3963775635,49920.082092285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,1.8544763799654578,0.0,120.0,493.0,281.625,133.19247116485226,17740.234375000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.625,281.625,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2253.0,0.0,0.0,0.0,0.0,8.0,20.0,2306992.769241333,0.0,2306992.769241333,2306992.769241333,2006893.3963775635,0.0,2006893.3963775635,2006893.3963775635
